# TIME (S)   X_POS (M)   Y_POS (M)
   1.36999905       19.3747444       10.1685581    
   1.37999904       19.5161667       10.1750927    
   1.38999903       19.6575890       10.1806459    
   1.39999902       19.7990112       10.1852179    
   1.40999901       19.9404335       10.1888094    
   1.41999900       20.0818558       10.1914196    
   1.42999899       20.2232780       10.1930485    
   1.43999898       20.3647003       10.1936970    
   1.44999897       20.5061226       10.1933641    
   1.45999897       20.6475449       10.1920500    
   1.46999896       20.7889671       10.1897554    
   1.47999895       20.9303894       10.1864796    
   1.48999894       21.0718117       10.1822233    
   1.49999893       21.2132339       10.1769857    
   1.50999892       21.3546562       10.1707668    
   1.51999891       21.4960785       10.1635675    
   1.52999890       21.6375008       10.1553869    
   1.53999889       21.7789230       10.1462250    
   1.54999888       21.9203453       10.1360826    
   1.55999887       22.0617676       10.1249590    
   1.56999886       22.2031898       10.1128540    
   1.57999885       22.3446121       10.0997686    
   1.58999884       22.4860344       10.0857019    
   1.59999883       22.6274567       10.0706539    
   1.60999882       22.7688789       10.0546255    
   1.61999881       22.9103012       10.0376158    
   1.62999880       23.0517235       10.0196247    
   1.63999879       23.1931458       10.0006533    
   1.64999878       23.3345680       9.98070049    
   1.65999877       23.4759903       9.95976639    
   1.66999876       23.6174126       9.93785191    
   1.67999876       23.7588348       9.91495609    
   1.68999875       23.9002571       9.89107895    
   1.69999874       24.0416794       9.86622143    
   1.70999873       24.1831017       9.84038258    
   1.71999872       24.3245239       9.81356335    
   1.72999871       24.4659462       9.78576279    
   1.73999870       24.6073685       9.75698090    
   1.74999869       24.7487907       9.72721863    
   1.75999868       24.8902130       9.69647503    
   1.76999867       25.0316353       9.66475010    
   1.77999866       25.1730576       9.63204479    
   1.78999865       25.3144798       9.59835815    
   1.79999864       25.4559021       9.56369019    
   1.80999863       25.5973244       9.52804184    
   1.81999862       25.7387466       9.49141216    
   1.82999861       25.8801689       9.45380116    
   1.83999860       26.0215912       9.41520977    
   1.84999859       26.1630135       9.37563705    
   1.85999858       26.3044357       9.33508301    
   1.86999857       26.4458580       9.29354858    
   1.87999856       26.5872803       9.25103283    
   1.88999856       26.7287025       9.20753574    
   1.89999855       26.8701248       9.16305828    
   1.90999854       27.0115471       9.11759949    
   1.91999853       27.1529694       9.07115936    
   1.92999852       27.2943916       9.02373886    
   1.93999851       27.4358139       8.97533703    
   1.94999850       27.5772362       8.92595387    
   1.95999849       27.7186584       8.87559032    
   1.96999848       27.8600807       8.82424545    
   1.97999847       28.0015030       8.77192020    
   1.98999846       28.1429253       8.71861362    
   1.99999845       28.2843475       8.66432571    
   2.00999856       28.4257698       8.60905743    
   2.01999855       28.5671921       8.55280781    
   2.02999854       28.7086143       8.49557686    
   2.03999853       28.8500366       8.43736553    
   2.04999852       28.9914589       8.37817287    
   2.05999851       29.1328812       8.31799889    
   2.06999850       29.2743034       8.25684452    
   2.07999849       29.4157257       8.19470882    
   2.08999848       29.5571480       8.13159180    
   2.09999847       29.6985703       8.06749439    
   2.10999846       29.8399925       8.00241566    
   2.11999846       29.9814148       7.93635559    
   2.12999845       30.1228371       7.86931419    
   2.13999844       30.2642593       7.80129194    
   2.14999843       30.4056816       7.73228884    
   2.15999842       30.5471039       7.66230440    
   2.16999841       30.6885262       7.59133911    
   2.17999840       30.8299484       7.51939297    
   2.18999839       30.9713707       7.44646597    
   2.19999838       31.1127930       7.37255764    
