 RUNNING SIMULATION...
 T=  0.959999382     , X=   13.5764475     , Y=   9.05601120    
 T=  0.969999373     , X=   13.7178688     , Y=   9.10276604    
 T=  0.979999363     , X=   13.8592901     , Y=   9.14854050    
 T=  0.989999354     , X=   14.0007114     , Y=   9.19333363    
 T=  0.999999344     , X=   14.1421328     , Y=   9.23714638    
 T=   1.00999939     , X=   14.2835541     , Y=   9.27997780    
 T=   1.01999938     , X=   14.4249754     , Y=   9.32182789    
 T=   1.02999938     , X=   14.5663967     , Y=   9.36269760    
 T=   1.03999937     , X=   14.7078180     , Y=   9.40258598    
 T=   1.04999936     , X=   14.8492393     , Y=   9.44149303    
 T=   1.05999935     , X=   14.9906607     , Y=   9.47941971    
 T=   1.06999934     , X=   15.1320820     , Y=   9.51636505    
 T=   1.07999933     , X=   15.2735033     , Y=   9.55232906    
 T=   1.08999932     , X=   15.4149246     , Y=   9.58731270    
 T=   1.09999931     , X=   15.5563459     , Y=   9.62131500    
 T=   1.10999930     , X=   15.6977673     , Y=   9.65433598    
 T=   1.11999929     , X=   15.8391886     , Y=   9.68637657    
 T=   1.12999928     , X=   15.9806099     , Y=   9.71743584    
 T=   1.13999927     , X=   16.1220322     , Y=   9.74751377    
 T=   1.14999926     , X=   16.2634544     , Y=   9.77661133    
 T=   1.15999925     , X=   16.4048767     , Y=   9.80472755    
 T=   1.16999924     , X=   16.5462990     , Y=   9.83186245    
 T=   1.17999923     , X=   16.6877213     , Y=   9.85801697    
 T=   1.18999922     , X=   16.8291435     , Y=   9.88319016    
 T=   1.19999921     , X=   16.9705658     , Y=   9.90738201    
 T=   1.20999920     , X=   17.1119881     , Y=   9.93059349    
 T=   1.21999919     , X=   17.2534103     , Y=   9.95282364    
 T=   1.22999918     , X=   17.3948326     , Y=   9.97407246    
 T=   1.23999918     , X=   17.5362549     , Y=   9.99434090    
 T=   1.24999917     , X=   17.6776772     , Y=   10.0136280    
 T=   1.25999916     , X=   17.8190994     , Y=   10.0319347    
 T=   1.26999915     , X=   17.9605217     , Y=   10.0492601    
 T=   1.27999914     , X=   18.1019440     , Y=   10.0656042    
 T=   1.28999913     , X=   18.2433662     , Y=   10.0809679    
 T=   1.29999912     , X=   18.3847885     , Y=   10.0953503    
 T=   1.30999911     , X=   18.5262108     , Y=   10.1087513    
 T=   1.31999910     , X=   18.6676331     , Y=   10.1211720    
 T=   1.32999909     , X=   18.8090553     , Y=   10.1326113    
 T=   1.33999908     , X=   18.9504776     , Y=   10.1430693    
 T=   1.34999907     , X=   19.0918999     , Y=   10.1525469    
 T=   1.35999906     , X=   19.2333221     , Y=   10.1610432    
 T=   1.36999905     , X=   19.3747444     , Y=   10.1685581    
 T=   1.37999904     , X=   19.5161667     , Y=   10.1750927    
 T=   1.38999903     , X=   19.6575890     , Y=   10.1806459    
 T=   1.39999902     , X=   19.7990112     , Y=   10.1852179    
 T=   1.40999901     , X=   19.9404335     , Y=   10.1888094    
 T=   1.41999900     , X=   20.0818558     , Y=   10.1914196    
 T=   1.42999899     , X=   20.2232780     , Y=   10.1930485    
 T=   1.43999898     , X=   20.3647003     , Y=   10.1936970    
 T=   1.44999897     , X=   20.5061226     , Y=   10.1933641    
 T=   1.45999897     , X=   20.6475449     , Y=   10.1920500    
 T=   1.46999896     , X=   20.7889671     , Y=   10.1897554    
 T=   1.47999895     , X=   20.9303894     , Y=   10.1864796    
 T=   1.48999894     , X=   21.0718117     , Y=   10.1822233    
 T=   1.49999893     , X=   21.2132339     , Y=   10.1769857    
 T=   1.50999892     , X=   21.3546562     , Y=   10.1707668    
 T=   1.51999891     , X=   21.4960785     , Y=   10.1635675    
 T=   1.52999890     , X=   21.6375008     , Y=   10.1553869    
 T=   1.53999889     , X=   21.7789230     , Y=   10.1462250    
 T=   1.54999888     , X=   21.9203453     , Y=   10.1360826    
 T=   1.55999887     , X=   22.0617676     , Y=   10.1249590    
 T=   1.56999886     , X=   22.2031898     , Y=   10.1128540    
 T=   1.57999885     , X=   22.3446121     , Y=   10.0997686    
 T=   1.58999884     , X=   22.4860344     , Y=   10.0857019    
 T=   1.59999883     , X=   22.6274567     , Y=   10.0706539    
 T=   1.60999882     , X=   22.7688789     , Y=   10.0546255    
 T=   1.61999881     , X=   22.9103012     , Y=   10.0376158    
 T=   1.62999880     , X=   23.0517235     , Y=   10.0196247    
 T=   1.63999879     , X=   23.1931458     , Y=   10.0006533    
 T=   1.64999878     , X=   23.3345680     , Y=   9.98070049    
 T=   1.65999877     , X=   23.4759903     , Y=   9.95976639    
 T=   1.66999876     , X=   23.6174126     , Y=   9.93785191    
 T=   1.67999876     , X=   23.7588348     , Y=   9.91495609    
 T=   1.68999875     , X=   23.9002571     , Y=   9.89107895    
 T=   1.69999874     , X=   24.0416794     , Y=   9.86622143    
 T=   1.70999873     , X=   24.1831017     , Y=   9.84038258    
 T=   1.71999872     , X=   24.3245239     , Y=   9.81356335    
 T=   1.72999871     , X=   24.4659462     , Y=   9.78576279    
 T=   1.73999870     , X=   24.6073685     , Y=   9.75698090    
 T=   1.74999869     , X=   24.7487907     , Y=   9.72721863    
 T=   1.75999868     , X=   24.8902130     , Y=   9.69647503    
 T=   1.76999867     , X=   25.0316353     , Y=   9.66475010    
 T=   1.77999866     , X=   25.1730576     , Y=   9.63204479    
 T=   1.78999865     , X=   25.3144798     , Y=   9.59835815    
 T=   1.79999864     , X=   25.4559021     , Y=   9.56369019    
 T=   1.80999863     , X=   25.5973244     , Y=   9.52804184    
 T=   1.81999862     , X=   25.7387466     , Y=   9.49141216    
 T=   1.82999861     , X=   25.8801689     , Y=   9.45380116    
 T=   1.83999860     , X=   26.0215912     , Y=   9.41520977    
 T=   1.84999859     , X=   26.1630135     , Y=   9.37563705    
 T=   1.85999858     , X=   26.3044357     , Y=   9.33508301    
 T=   1.86999857     , X=   26.4458580     , Y=   9.29354858    
 T=   1.87999856     , X=   26.5872803     , Y=   9.25103283    
 T=   1.88999856     , X=   26.7287025     , Y=   9.20753574    
