    1.44    10.19    10.19
    3.90     5.04     5.04
    5.63     2.48     2.48
    6.85     1.24     1.24
    7.71     0.62     0.62
    8.32     0.30     0.30
    8.75     0.15     0.15
    9.06     0.08     0.08
    9.28     0.04     0.04
    9.45     0.02     0.02
